Index,Y_Actual,Y_Predict,Structure_Index,Per_Structure_SHAP,Y_Pred_minus_Per_Structure_SHAP
3684,321.33642578125,304.06674,3684,-36.81282889045987,340.87956889045984
3661,340.2823181152344,347.84732,3661,4.77169124134439,343.0756287586556
530,363.0030517578125,356.03214,530,9.181555280858756,346.8505847191413
1886,282.47235107421875,287.05215,1886,-60.270038533070505,347.3221885330705
681,357.5123291015625,354.7513,681,13.463062234120736,341.2882377658793
3794,375.228515625,368.67386,3794,24.63375637994002,344.04010362006
3944,319.3202819824219,308.13666,3944,-34.560608906990275,342.6972689069903
4666,303.2198486328125,305.68265,4666,-41.94559218745738,347.62824218745743
2018,370.3811950683594,362.59598,2018,14.871669737700527,347.72431026229947
1096,330.0300598144531,332.8433,1096,-14.886934590055018,347.73023459005503
829,374.87103271484375,380.17307,829,35.997413940073166,344.17565605992684
2805,365.5196533203125,370.11823,2805,26.774074395422463,343.3441556045775
3829,299.23052978515625,298.73166,3829,-44.02835497409634,342.7600149740963
4381,350.5774230957031,359.64026,4381,16.2456207078861,343.39463929211394
3891,366.9638366699219,370.01422,3891,25.391419576509477,344.62280042349056
764,359.17095947265625,359.66086,764,14.426374556767591,345.2344854432324
2767,406.885986328125,400.90097,2767,53.85511931127493,347.04585068872507
4328,380.96234130859375,375.22775,4328,35.001459875996936,340.22629012400307
3295,339.95343017578125,330.85434,3295,-12.45857857455648,343.3129185745565
2194,285.2891845703125,275.70175,2194,-74.80923333682301,350.510983336823
2357,291.494873046875,291.44748,2357,-59.213765808252354,350.6612458082523
3425,295.527099609375,291.5452,3425,-55.1119145272035,346.65711452720353
3979,372.0684814453125,360.34067,3979,14.359586933235734,345.98108306676426
911,372.8692321777344,367.671,911,17.230568978546604,350.4404310214534
3145,341.3689880371094,341.52103,3145,-3.1053230780568835,344.62635307805687
999,378.4600524902344,375.64154,999,29.14752109999992,346.4940189000001
3653,300.2457275390625,317.28964,3653,-26.185870747423277,343.4755107474233
2483,368.9656982421875,369.09738,2483,22.66706837813801,346.43031162186196
4076,364.5330200195313,372.10703,4076,24.316312768292317,347.7907172317077
2370,392.6444396972656,391.60568,2370,47.58866870970195,344.01701129029806
4838,326.1407775878906,324.78583,4838,-19.229019084815707,344.0148490848157
33,347.403076171875,354.55875,33,11.276742497981427,343.28200750201853
3789,395.21820068359375,394.3126,3789,45.293865508285705,349.01873449171427
1020,374.1275024414063,381.4962,1020,41.84729709397078,339.6489029060292
1647,382.2206115722656,386.52783,1647,44.25187807399259,342.2759519260074
733,378.7889099121094,377.16177,733,29.931658102945804,347.2301118970542
4582,321.765380859375,308.14407,4582,-40.35611499053594,348.50018499053596
3274,344.65771484375,350.18362,3274,7.889179814729874,342.29444018527016
1620,357.626708984375,361.55573,1620,13.75696006888907,347.79876993111094
3135,347.0169982910156,336.1169,3135,-9.807560516897984,345.92446051689797
2689,293.4823913574219,302.45596,2689,-41.68285987681127,344.1388198768113
2707,356.1682434082031,364.09976,2707,19.285317680169943,344.81444231983005
297,319.5776672363281,318.91464,297,-33.272358133644474,352.18699813364447
2339,326.4696960449219,319.82614,2339,-22.455965873319222,342.2821058733192
653,349.7480773925781,359.47903,653,15.376163969644876,344.10286603035513
3774,391.2145385742188,388.9602,3774,44.75626878583858,344.2039312141614
1255,361.4158935546875,363.97342,1255,26.8210962913286,337.15232370867136
4520,385.7666931152344,371.80933,4520,24.222762855658715,347.5865671443413
230,367.3212890625,365.75174,230,19.714944772854487,346.0367952271455
3276,340.2394104003906,338.47586,3276,-12.00744388416026,350.48330388416025
3230,338.2518920898437,347.94656,3230,8.849390857338365,339.0971691426616
691,388.3547973632813,389.18246,691,46.67300876512529,342.5094512348747
2754,372.4974365234375,358.50308,2754,14.04214288017514,344.46093711982485
4863,353.7660522460937,349.82144,4863,4.771104479075062,345.05033552092493
969,373.9559326171875,369.97708,969,21.175574697605622,348.8015053023944
633,285.3178100585937,288.86972,633,-58.49447725894779,347.36419725894774
4092,347.4459533691406,352.14807,4092,7.959231559863859,344.1888384401362
4077,347.703369140625,354.0358,4077,4.493661967189826,349.54213803281016
1321,302.4620361328125,292.5839,1321,-50.66879623506193,343.252696235062
1831,325.8548278808594,322.81412,1831,-20.83699550086192,343.6511155008619
2178,275.17999267578125,279.15506,2178,-64.96412985388866,344.11918985388866
