Index,Y_Value
3774,391.21453857421875
1255,361.4158935546875
4520,385.7666931152344
230,367.3212890625
3276,340.2394104003906
3230,338.25189208984375
691,388.35479736328125
2754,372.4974365234375
4863,353.76605224609375
969,373.9559326171875
633,285.31781005859375
4092,347.4459533691406
4077,347.703369140625
1321,302.4620361328125
1831,325.8548278808594
2178,275.17999267578125
1417,367.2926940917969
1782,372.5403137207031
4715,352.0359191894531
4701,375.74322509765625
4118,298.18670654296875
1652,369.1372375488281
1483,311.37017822265625
2275,355.8965759277344
877,362.5740966796875
3525,307.5809631347656
2016,294.7835998535156
426,306.9947509765625
626,357.15484619140625
1589,359.05657958984375
2223,393.0591125488281
2217,349.5622253417969
4483,334.4054870605469
1485,276.3238830566406
1739,370.7243957519531
2480,325.0255432128906
2584,385.8525085449219
2893,371.2677307128906
149,378.0310363769531
676,400.8662109375
1261,384.1080322265625
4917,366.5777587890625
12,361.9878234863281
1833,334.3626403808594
3248,307.1377258300781
1491,380.5905456542969
2727,365.5196533203125
3686,328.7431945800781
1424,293.1678161621094
4605,325.61175537109375
4595,386.4244079589844
731,402.1102294921875
1231,323.52410888671875
1634,378.24554443359375
3936,351.4639587402344
1210,377.61639404296875
3268,362.5884094238281
1934,342.2412414550781
553,385.20904541015625
491,301.24664306640625
2962,340.8399658203125
2329,328.714599609375
2195,371.85400390625
3064,313.6722717285156
657,353.5229797363281
2374,386.7962341308594
2225,364.3614501953125
4264,291.5663757324219
1170,358.255859375
132,374.6852111816406
471,270.4327697753906
3225,331.1739501953125
1405,359.0995178222656
2876,387.0679016113281
4504,348.4325866699219
4692,344.1429748535156
2826,385.7953186035156
287,392.57293701171875
1869,290.9372253417969
3114,313.3434143066406
3625,274.03607177734375
2312,350.2056579589844
4923,293.0963439941406
1618,363.68939208984375
994,320.8931579589844
1803,388.1974792480469
2642,379.07489013671875
4802,322.7091064453125
3535,366.9208984375
4831,372.4688720703125
3911,302.8338317871094
2107,343.9141845703125
3044,323.9388122558594
416,375.5859680175781
977,364.7760925292969
2417,328.6287841796875
505,400.7518310546875
4152,375.72900390625
4255,356.5543212890625
3941,370.0523681640625
414,321.5365905761719
4148,327.2704162597656
1183,393.0162048339844
485,295.29833984375
893,392.830322265625
805,350.1055908203125
555,332.6324768066406
3825,324.03887939453125
1197,349.8768005371094
4253,382.4636535644531
4058,382.7496643066406
1293,301.37530517578125
2221,302.5907287597656
3504,369.59478759765625
3654,388.9553527832031
4758,385.4664306640625
3006,376.8728942871094
2093,306.3798828125
2187,323.82440185546875
3036,366.9066467285156
3918,385.8954162597656
1272,386.6246337890625
290,368.20782470703125
4827,353.76605224609375
252,278.8261413574219
3245,370.9532165527344
350,363.0316467285156
1187,349.64801025390625
1961,353.194091796875
422,378.77459716796875
90,385.92401123046875
3729,294.6692199707031
2236,300.2600402832031
670,328.5001220703125
3040,328.4285888671875
26,323.6957092285156
429,299.03033447265625
683,270.947509765625
4463,386.2099609375
3945,354.1378173828125
3523,354.1950378417969
1541,287.84869384765625
2031,387.9544372558594
2232,297.7291564941406
4120,286.7333679199219
3235,379.71832275390625
254,363.4034423828125
1029,389.2413024902344
4392,378.374267578125
3800,295.6129455566406
4310,341.7836608886719
2509,307.9098815917969
2292,367.2497863769531
1323,337.5512390136719
1550,297.6004333496094
4647,384.2510681152344
315,356.62579345703125
1242,347.7176818847656
2450,384.12237548828125
1578,361.24432373046875
4625,382.13482666015625
3116,356.3827209472656
69,316.8608703613281
859,330.3303527832031
2753,375.228515625
1632,358.2844543457031
1650,380.5047607421875
3860,321.27923583984375
