File,N_1-1,E_1-1,N_1-2,E_1-2,N_1-3,E_1-3,N_1-4,E_1-4,N_1-5,E_1-5,N_2-2,E_2-2,N_2-3,E_2-3,N_2-4,E_2-4,N_2-5,E_2-5,N_3-3,E_3-3,N_3-4,E_3-4,N_3-5,E_3-5,N_4-4,E_4-4,N_4-5,E_4-5,N_5-5,E_5-5,File_Index,Index,Y_Actual,Y_Predict,Structure
dump_130.csv,325.0,-3.6103033384615375,392.0,-3.68595706632653,548.0,-4.017586076642336,525.0,-3.8510267904761903,560.0,-4.023258428571428,192.0,-3.770586927083333,391.0,-4.0971030562659845,372.0,-3.9309843951612895,396.0,-4.099098762626262,723.0,-4.430602821576763,951.0,-4.274707960042061,1028.0,-4.428335802529183,449.0,-4.106681414253898,699.0,-4.276586452074391,911.0,-4.432545241492865,130,4256,183.6348419189453,183.46982,dump_130.lammpstraj
dump_131.csv,92.0,-3.6411885869565217,186.0,-3.719854032258064,263.0,-4.057108022813688,234.0,-3.8999214316239312,261.0,-4.06003775862069,182.0,-3.79408228021978,386.0,-4.122649663212435,334.0,-3.969272380239521,384.0,-4.12548609375,969.0,-4.466279984520124,1211.0,-4.322685726672172,1339.0,-4.460524484690067,484.0,-4.162688295454545,719.0,-4.321794687065369,901.0,-4.460745732519423,131,3107,190.82896423339844,190.56326,dump_131.lammpstraj
dump_132.csv,100.0,-3.6423144,198.0,-3.713783863636364,261.0,-4.059343984674329,233.0,-3.904871094420601,262.0,-4.0621920419847335,203.0,-3.7920640886699504,431.0,-4.124497389791183,402.0,-3.97023696517413,432.0,-4.126251099537037,935.0,-4.466682967914439,1155.0,-4.322425852813852,1284.0,-4.463146203271028,452.0,-4.164708661504425,712.0,-4.323467886235955,930.0,-4.462168462365591,132,1973,189.98971557617188,190.02945,dump_132.lammpstraj
dump_133.csv,79.0,-3.658025696202532,209.0,-3.7243542822966496,252.0,-4.070444384920635,238.0,-3.907647457983193,251.0,-4.071721752988048,261.0,-3.802385038314176,494.0,-4.128921599190283,457.0,-3.971889113785558,493.0,-4.129777880324544,880.0,-4.471277778409091,1109.0,-4.321885184851217,1212.0,-4.468703948019802,462.0,-4.165472662337662,719.0,-4.323064645340751,931.0,-4.468324924812031,133,1375,189.60411071777344,189.64964,dump_133.lammpstraj
dump_134.csv,175.0,-3.615990028571429,291.0,-3.691496048109965,379.0,-4.0360905408970975,352.0,-3.878663238636364,382.0,-4.043168128272251,183.0,-3.782302103825137,406.0,-4.115056527093596,384.0,-3.954489505208333,408.0,-4.114643664215686,922.0,-4.45429363340564,1195.0,-4.302947623430962,1275.0,-4.450573105882353,497.0,-4.145639869215292,749.0,-4.306669299065421,818.0,-4.454153655256724,134,3968,188.0554962158203,188.07458,dump_134.lammpstraj
dump_135.csv,414.0,-3.572436231884058,511.0,-3.664044129158513,648.0,-3.99846273919753,604.0,-3.829263774834437,642.0,-4.004898380062306,233.0,-3.7581970171673817,452.0,-4.083863196902655,414.0,-3.919860809178744,453.0,-4.088647395143488,747.0,-4.421527202141901,965.0,-4.265583284974094,1042.0,-4.419796564299425,472.0,-4.094769375,715.0,-4.267850041958042,742.0,-4.423879548517521,135,4062,181.66763305664065,181.90543,dump_135.lammpstraj
dump_136.csv,56.0,-3.652233125,141.0,-3.7259832269503534,199.0,-4.069735376884422,179.0,-3.909494944134078,199.0,-4.068413944723618,159.0,-3.790911981132076,378.0,-4.1268553571428575,351.0,-3.9731203703703706,377.0,-4.1262085809018565,1014.0,-4.473235596646942,1273.0,-4.329353955223881,1379.0,-4.468890783176215,474.0,-4.175317668776371,719.0,-4.331727489568846,930.0,-4.468511865591398,136,4445,192.4736785888672,192.42519,dump_136.lammpstraj
dump_137.csv,202.0,-3.622575272277228,283.0,-3.6935791696113074,424.0,-4.036208384433962,390.0,-3.87649417948718,430.0,-4.03910161627907,175.0,-3.7858115714285714,387.0,-4.108885762273902,359.0,-3.948310988857939,385.0,-4.109840168831169,858.0,-4.446008636363636,1080.0,-4.295063680555556,1170.0,-4.442887982905983,457.0,-4.136672396061269,705.0,-4.299302063829788,937.0,-4.443762193169691,137,3557,186.8286590576172,186.64705,dump_137.lammpstraj
dump_138.csv,53.0,-3.6518953773584895,147.0,-3.720391734693878,199.0,-4.071109170854271,187.0,-3.9104442513368975,195.0,-4.070747076923077,158.0,-3.798572943037975,368.0,-4.124771793478261,333.0,-3.967794564564565,369.0,-4.124531327913279,996.0,-4.474763067269077,1259.0,-4.3292914614773625,1382.0,-4.469280104920405,458.0,-4.173408417030568,706.0,-4.329318484419264,954.0,-4.4672121278826,138,964,192.0052947998047,192.0597,dump_138.lammpstraj
dump_139.csv,482.0,-3.58656531120332,707.0,-3.6708098939179634,679.0,-3.989017452135493,588.0,-3.817306819727891,735.0,-4.004021156462585,591.0,-3.77350872250423,802.0,-4.079819819201995,664.0,-3.912820286144578,869.0,-4.095511432681243,453.0,-4.3927936203090505,539.0,-4.235627597402598,709.0,-4.400920811001411,234.0,-4.067031581196581,450.0,-4.245486288888889,848.0,-4.415177211084906,139,179,177.3720245361328,176.65186,dump_139.lammpstraj
