File,Pair,Count,Mean_Energy
dump_3.csv,3-4,1191,-4.32305279177162
dump_3.csv,3-5,1304,-4.464469946319018
dump_3.csv,4-4,504,-4.16595628968254
dump_3.csv,4-5,742,-4.322387264150944
dump_3.csv,5-5,938,-4.461315410447761
dump_4.csv,1-1,534,-3.551509756554307
dump_4.csv,1-2,540,-3.632478805555556
dump_4.csv,1-3,804,-3.972017618159204
dump_4.csv,1-4,771,-3.8044838780804153
dump_4.csv,1-5,771,-3.978914928664073
dump_4.csv,2-2,145,-3.7453297586206897
dump_4.csv,2-3,339,-4.064356460176991
dump_4.csv,2-4,322,-3.89704950310559
dump_4.csv,2-5,324,-4.0741965895061725
dump_4.csv,3-3,812,-4.401473195812808
dump_4.csv,3-4,1078,-4.244506530612245
dump_4.csv,3-5,1075,-4.4044033767441855
dump_4.csv,4-4,595,-4.074907705882353
dump_4.csv,4-5,822,-4.2511884610705595
dump_4.csv,5-5,554,-4.412300469314079
dump_5.csv,1-1,337,-3.588897818991098
dump_5.csv,1-2,422,-3.6666845260663505
dump_5.csv,1-3,554,-4.010645315884476
dump_5.csv,1-4,506,-3.8473910079051383
dump_5.csv,1-5,550,-4.012239963636364
dump_5.csv,2-2,180,-3.765113722222222
dump_5.csv,2-3,381,-4.086085879265092
dump_5.csv,2-4,357,-3.93185175070028
dump_5.csv,2-5,377,-4.090683541114059
dump_5.csv,3-3,935,-4.427025668449198
dump_5.csv,3-4,1169,-4.277346976047904
dump_5.csv,3-5,1252,-4.425997244408945
dump_5.csv,4-4,452,-4.120157732300885
dump_5.csv,4-5,686,-4.283546326530613
dump_5.csv,5-5,735,-4.4304019387755105
dump_6.csv,1-1,288,-3.6129592187500004
dump_6.csv,1-2,499,-3.6973580861723447
dump_6.csv,1-3,497,-4.025689225352113
dump_6.csv,1-4,465,-3.858344688172043
dump_6.csv,1-5,492,-4.039215274390243
dump_6.csv,2-2,625,-3.799851704
dump_6.csv,2-3,889,-4.118371546681665
dump_6.csv,2-4,862,-3.9520212587006958
dump_6.csv,2-5,893,-4.128869714445689
dump_6.csv,3-3,635,-4.439672803149606
dump_6.csv,3-4,849,-4.284033568904594
dump_6.csv,3-5,881,-4.443999040862656
dump_6.csv,4-4,476,-4.116253834033613
dump_6.csv,4-5,693,-4.293807005772006
dump_6.csv,5-5,599,-4.456912337228714
dump_7.csv,1-1,244,-3.613617274590164
dump_7.csv,1-2,370,-3.6978765945945944
dump_7.csv,1-3,424,-4.039795117924529
dump_7.csv,1-4,427,-3.8635060187353627
dump_7.csv,1-5,447,-4.042122762863534
dump_7.csv,2-2,320,-3.8038165156250003
dump_7.csv,2-3,531,-4.128817052730697
dump_7.csv,2-4,533,-3.960293142589118
dump_7.csv,2-5,559,-4.129832316636851
dump_7.csv,3-3,516,-4.4604346802325585
dump_7.csv,3-4,761,-4.301006708278581
dump_7.csv,3-5,798,-4.458285808270676
dump_7.csv,4-4,625,-4.129859368
dump_7.csv,4-5,889,-4.30307766591676
dump_7.csv,5-5,907,-4.463660815876516
dump_8.csv,1-1,127,-3.6307199212598427
dump_8.csv,1-2,262,-3.7117563931297712
dump_8.csv,1-3,333,-4.054209294294295
dump_8.csv,1-4,294,-3.89061018707483
dump_8.csv,1-5,332,-4.058108780120482
dump_8.csv,2-2,251,-3.7952897410358566
dump_8.csv,2-3,470,-4.123558319148936
dump_8.csv,2-4,442,-3.9643834841628958
dump_8.csv,2-5,476,-4.125534380252101
dump_8.csv,3-3,872,-4.457742786697247
dump_8.csv,3-4,1120,-4.309924133928571
dump_8.csv,3-5,1216,-4.455556299342105
dump_8.csv,4-4,449,-4.154166536748329
dump_8.csv,4-5,713,-4.313540596072931
dump_8.csv,5-5,884,-4.456190345022624
dump_9.csv,1-1,110,-3.6339324545454548
dump_9.csv,1-2,215,-3.7146480697674416
dump_9.csv,1-3,295,-4.056268898305085
dump_9.csv,1-4,267,-3.8993555617977527
dump_9.csv,1-5,295,-4.055853372881356
dump_9.csv,2-2,184,-3.794940489130435
dump_9.csv,2-3,408,-4.122018333333333
dump_9.csv,2-4,370,-3.968393608108108
dump_9.csv,2-5,408,-4.122213394607843
dump_9.csv,3-3,952,-4.461206302521009
dump_9.csv,3-4,1182,-4.313233705583756
dump_9.csv,3-5,1282,-4.456198985959438
dump_9.csv,4-4,445,-4.156997325842696
dump_9.csv,4-5,700,-4.318734121428572
dump_9.csv,5-5,939,-4.45934719914803
dump_10.csv,1-1,126,-3.6341260714285712
dump_10.csv,1-2,245,-3.705960448979592
dump_10.csv,1-3,314,-4.056862117834394
dump_10.csv,1-4,286,-3.891751555944056
dump_10.csv,1-5,316,-4.058608892405063
dump_10.csv,2-2,196,-3.791935025510204
